id,submit_time,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,1904,1946,1964,1981,2012,levee,report,maner,location_code
576,2018-03-23 21:37:00,2,2,1,1,2,0,0,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,do not know,6,6,6,B 
577,2018-03-23 21:38:00,2,2,0,1,0,2,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,do not know,do not know,5,5,5,B 
578,2018-03-23 21:40:00,2,2,0,1,2,1,0,college or higher,True,"＞50,000",null,null,null,fixed telephone; mobile phone,null,null,null,bycycle; car,False,null,do not know,do not know,do not know,know from written records,know from written records,7,7,8,B 
579,2018-03-23 21:41:00,1,2,1,0,2,0,0,vocational college,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,motor,False,null,do not know,do not know,do not know,do not know,heard of somewhere,7,7,7,B 
580,2018-03-23 21:43:00,2,2,0,2,2,0,0,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,motor; car,True,null,do not know,do not know,do not know,do not know,do not know,9,9,9,B 
581,2018-03-23 21:44:00,1,2,0,1,2,0,0,null,True,"＜5,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere,9,9,9,B 
582,2018-03-23 21:45:00,2,2,1,0,2,0,1,senior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,know from written records,do not know,6,6,6,B 
583,2018-03-23 21:46:00,2,2,1,0,2,0,1,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,know from written records,heard of somewhere,8,8,8,B 
584,2018-03-25 12:24:00,1,0,0,0,1,0,0,senior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,do not know,heard from intimates,heard of somewhere; know from written records; heard from intimates,9,9,9,C 
585,2018-03-25 12:26:00,2,2,1,1,2,0,0,senior high school,True,"10,000~20,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,heard of somewhere,heard from intimates,8,8,8,C 
